sc3.sc3_0.05,sc3.sc3_0.1,sc3.sc3_0.15,sc3.sc3_0.2,sc3.sc3_0.25,sc3.sc3_0.3,sc3.sc3_0.35,sc3.sc3_0.4,sc3.sc3_0.45,sc3.sc3_0.5,sc3.sc3_0.55,sc3.sc3_0.6,sc3.sc3_0.65,sc3.sc3_0.7,sc3.sc3_0.75,sc3.sc3_0.8,sc3.sc3_0.85,sc3.sc3_0.9,sc3.sc3_0.95,sc3.sc3_1,Monocle.Monocle_0.05,Monocle.Monocle_0.1,Monocle.Monocle_0.15,Monocle.Monocle_0.2,Monocle.Monocle_0.25,Monocle.Monocle_0.3,Monocle.Monocle_0.35,Monocle.Monocle_0.4,Monocle.Monocle_0.45,Monocle.Monocle_0.5,Monocle.Monocle_0.55,Monocle.Monocle_0.6,Monocle.Monocle_0.65,Monocle.Monocle_0.7,Monocle.Monocle_0.75,Monocle.Monocle_0.8,Monocle.Monocle_0.85,Monocle.Monocle_0.9,Monocle.Monocle_0.95,Monocle.Monocle_1,seurat.seurat_0.05,seurat.seurat_0.1,seurat.seurat_0.15,seurat.seurat_0.2,seurat.seurat_0.25,seurat.seurat_0.3,seurat.seurat_0.35,seurat.seurat_0.4,seurat.seurat_0.45,seurat.seurat_0.5,seurat.seurat_0.55,seurat.seurat_0.6,seurat.seurat_0.65,seurat.seurat_0.7,seurat.seurat_0.75,seurat.seurat_0.8,seurat.seurat_0.85,seurat.seurat_0.9,seurat.seurat_0.95,seurat.seurat_1,Rsec.Rsec_0.05,Rsec.Rsec_0.1,Rsec.Rsec_0.15,Rsec.Rsec_0.2,Rsec.Rsec_0.25,Rsec.Rsec_0.3,Rsec.Rsec_0.35,Rsec.Rsec_0.4,Rsec.Rsec_0.45,Rsec.Rsec_0.5,Rsec.Rsec_0.55,Rsec.Rsec_0.6,Rsec.Rsec_0.65,Rsec.Rsec_0.7,Rsec.Rsec_0.75,Rsec.Rsec_0.8,Rsec.Rsec_0.85,Rsec.Rsec_0.9,Rsec.Rsec_0.95,Rsec.Rsec_1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
16,11,9,8,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,22,20,17,16,8,6,6,6,5,5,6,6,1,1,1,1,1,1,1,1,8,8,8,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,12,12,12,12,11,10,10,9,9,4,1,1,1,1,1,1,1,1,1,1
16,11,9,8,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,8,8,8,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,22,20,17,16,8,6,6,6,5,5,6,6,1,1,1,1,1,1,1,1,8,8,8,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,9,9,9,9,8,7,7,7,7,3,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
16,11,9,8,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,9,8,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,8,8,8,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
16,11,9,8,8,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,8,8,8,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
15,9,8,7,7,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,25,14,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,9,7,7,5,5,5,5,1,1,1,1,1,1,1,1,1,17,17,17,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1
25,18,11,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,6,5,5,5,4,4,6,6,1,1,1,1,1,1,1,1,11,11,11,8,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
